success,design_mass,burned_fuel,final_mass,flown_range,payload_total,run_id,cruise_alt,cruise_mach
true,70741.39089209962,21556.36413246541,49185.02671003852,3416.3283373224804,5000.0,0,20000,0.5
true,75954.56135080336,21556.364132343377,54398.19721458476,3266.012206978844,10000.0,1,20000,0.5
true,81163.33031259001,21556.36413233787,59606.966185019846,3247.006676030071,15000.0,2,20000,0.5
true,70741.39094825863,21556.3641323357,49185.02681592293,3643.714992943431,5000.0,3,25000,0.5
true,75954.56135521007,21556.364132335686,54398.19722287437,3446.882176595374,10000.0,4,25000,0.5
true,81163.33030706372,21556.364132335766,59606.966174666544,3260.774234222004,15000.0,5,25000,0.5
true,70741.39094825863,21556.3641323357,49185.02681592293,3889.3326231653264,5000.0,6,30000,0.5
true,75954.56135500682,21556.364132335897,54398.1972224924,3628.1335764567875,10000.0,7,30000,0.5
true,81163.3303071339,21556.364132335693,59606.96617479821,3272.437314050847,15000.0,8,30000,0.5
true,70741.39094827914,21556.364132335744,49185.026815961464,3132.6618669518334,5000.0,9,20000,0.6
true,75954.56135545172,21556.364132335162,54398.1972233292,3055.429529796264,10000.0,10,20000,0.6
true,81163.3303071339,21556.364132335693,59606.966174798195,3104.320615534485,15000.0,11,20000,0.6
true,70741.3909485218,21556.364132334973,49185.026816419355,3503.1130944899664,5000.0,12,25000,0.6
true,75954.56135521005,21556.364132335693,54398.19722287435,3386.3408761829623,10000.0,13,25000,0.6
true,81163.33030701638,21556.36413233594,59606.966174577516,3248.0388053457923,15000.0,14,25000,0.6
true,70741.39094825863,21556.3641323357,49185.02681592293,3863.5639637337904,5000.0,15,30000,0.6
true,75954.56135521004,21556.3641323357,54398.19722287434,3675.785941645312,10000.0,16,30000,0.6
true,81163.3303071339,21556.364132335693,59606.96617479821,3489.6419722325036,15000.0,17,30000,0.6
true,70741.39094826997,21556.36413233528,49185.02681594508,2807.9134231939797,5000.0,18,20000,0.7
true,75954.56135471092,21556.364132336188,54398.197221936374,2985.717012074663,10000.0,19,20000,0.7
true,81163.33030713389,21556.364132335693,59606.966174798195,2701.133225963132,15000.0,20,20000,0.7
true,70741.39094825929,21556.3641323357,49185.02681592418,3187.923794643162,5000.0,21,25000,0.7
true,75954.56135521007,21556.364132335708,54398.19722287436,3117.865270676172,10000.0,22,25000,0.7
true,81163.3303071339,21556.364132335708,59606.966174798195,3037.278971392995,15000.0,23,25000,0.7
true,70741.39094825863,21556.3641323357,49185.02681592293,3606.277528552906,5000.0,24,30000,0.7
true,75954.56135521985,21556.364132335693,54398.19722289274,3501.9542580703155,10000.0,25,30000,0.7
true,81163.3303071339,21556.364132335708,59606.966174798195,3382.691316979566,15000.0,26,30000,0.7
