time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0006001935718379027,12.023821049859631,1.0,4613.329254875437,0.0,-3050.456984140823,0.2,0.00015422851546072314,32982.99726847248,28.694673214965476,0.29734364806784686,8918.151393040867,68.05737256035121
108.1737031281164,1276.7532616973513,11.587071364080197,7643.234761041233,4205.843721224681,0.0,-2884.4884884861694,0.2166834696453384,0.00015422851546072314,32942.59541443201,29.9533066798924,0.2843060759566457,8086.814643922857,73.41022274367056
257.43133487984056,2964.3768364452626,11.036566721761714,19136.257146238735,3819.306986154404,0.0,-2717.264900161802,0.2397032526115901,0.00015422851546072314,32890.03950085776,31.325979708242624,0.27218719193843033,7224.720401215049,80.73249463231102
304.6708650066308,3481.8972973894925,10.874925307877028,23001.217983882758,3729.3646141992394,0.0,-2676.2225321352967,0.24698893521410706,0.00015422851546072314,32873.98568352918,31.67943743539866,0.26951913314480125,7005.672474342188,83.0351254967351
304.6708650066308,3481.8972973894925,10.874925307877028,23001.217983882758,3729.3646141992394,0.0,-2676.2225321352967,0.24698893521410706,0.00015422851546072314,32873.98568352918,31.67943743539866,0.26951913314480125,7005.672474342188,83.0351254967351
525.5923132763858,5807.3394069519645,10.19935064249247,42514.66301835442,3456.9603237149,0.0,-2533.10447266792,0.28106132221418434,0.00015422851546072314,32801.64760617392,32.89087376975265,0.2628971598510987,6235.091167792576,93.71313344838921
830.4188211833157,8801.028911475121,9.484587358513181,73283.8520271666,3347.9768824007183,0.0,-2438.887734754297,0.3280742620017465,0.00015422851546072314,32706.57863869572,33.81200589172275,0.2648259420134927,5648.353874827035,108.21039732117234
926.8953687119973,9707.487043155368,9.310885103314915,83938.82984038864,3339.4436625108137,0.0,-2420.6060411734366,0.342953696703871,0.00015422851546072314,32676.980678954544,33.97583145184835,0.26700111370366714,5525.2996775329875,112.74259690211915
926.8953687119973,9707.487043155368,9.310885103314915,83938.82984038864,3339.4436625108137,0.0,-2420.6060411734366,0.342953696703871,0.00015422851546072314,32676.980678954544,33.97583145184835,0.26700111370366714,5525.2996775329875,112.74259690211915
1189.5491125856963,12103.628783897015,8.965939746522018,115149.56436364647,3346.971089984197,0.0,-2360.512473433204,0.38346239370171253,0.00015422851546072314,32598.02453949255,33.30090965010302,0.22883949515386717,5287.13240170046,124.94303205381092
1551.9576707440658,15311.636540529058,8.797265860785947,163419.27254403627,3479.9994930759653,0.0,-2367.4482548471665,0.43935612761673903,0.00015422851546072314,32490.455419035712,31.664465051566534,0.16642865783813046,5200.698762900209,141.4246633860746
1666.6587403001367,16321.546855628778,8.818114427048018,179932.75603654954,3525.3001941821276,0.0,-2389.7365388228172,0.457046303296129,0.00015422851546072314,32456.066584851913,30.922972495580254,0.18082605634953008,5198.447810680028,146.54779724209195
1666.6587403001367,16321.546855628778,8.818114427048018,179932.75603654954,3525.3001941821276,0.0,-2389.7365388228172,0.457046303296129,0.00015422851546072314,32456.066584851913,30.922972495580254,0.18082605634953008,5198.447810680028,146.54779724209195
1887.580188569892,18282.7653067443,8.958847828345027,213381.55822691356,3612.014825421893,0.0,-2434.261551833161,0.4911186902962063,0.00015422851546072314,32388.89661548272,29.134581569191997,0.21393398358054713,5217.0482706872035,156.27446479102136
2192.4066964768217,21069.985589449523,9.37042306555343,263014.5610884576,3746.7042693924272,0.0,-2500.0662681062263,0.5381316300837684,0.00015422851546072314,32294.097023155442,26.407843306722615,0.2692326615798761,5299.8019541126205,169.35088071230118
2288.8832440055035,21982.625634635646,9.553203101278264,279546.72175144474,3789.2947610113765,0.0,-2524.0068529249024,0.553011064785893,0.00015422851546072314,32263.55782023874,25.509404917267787,0.2889347606317395,5334.507426126708,173.39502499843323
2288.8832440055035,21982.625634635646,9.553203101278264,279546.72175144474,3789.2947610113765,0.0,-2524.0068529249024,0.553011064785893,0.00015422851546072314,32263.55782023874,25.509404917267787,0.2889347606317395,5334.507426126708,173.39502499843323
2397.05694713362,23028.453625478574,9.788173450985719,298543.64588781446,3833.3802423142397,0.0,-2548.453563880412,0.5696945344312313,0.00015422851546072314,32228.97098724086,24.39276762266379,0.3134249208629203,5374.045014824392,177.86970879997332
2546.314578885344,24516.746672115252,10.164505357640849,325542.4918170067,3885.697534826047,0.0,-2578.0791828663528,0.5927143173974829,0.00015422851546072314,32180.745015920336,22.659038594071152,0.3520786740576537,5426.964986456233,183.93140089519062
2593.554109012134,25000.000000004584,10.296204542585144,334274.8884343755,3899.9998363856985,0.0,-2585.695773408243,0.6,0.00015422851546072314,32165.373716561313,22.062401812390597,0.3656990861722199,5443.014103818732,185.82087427793462
