time (s),altitude (ft),altitude_rate (ft/s),distance (m),drag (lbf),electric_power_in_total (kW),fuel_flow_rate_negative_total (lbm/h),mach (unitless),mach_rate (1/s),mass (kg),specific_energy_rate_excess (m/s),throttle (unitless),thrust_net_total (lbf),velocity (m/s)
0.0,0.0,13.288697242655632,1.0,5376.5364688749405,0.0,-3492.7622604268563,0.2,0.00021441204776416156,35819.224546216945,25.764820855777717,0.34388405729761756,10663.785438705003,68.05737270077049
101.15341355629305,1288.3587337196388,12.203279743627641,7232.7770082330535,4691.563335216902,0.0,-3195.46875556466,0.22168851053893993,0.00021441204776416156,35776.69753160024,27.590961788360488,0.31604175580553345,9182.118939689646,75.10285863919098
240.72447856026824,2897.3928366901628,10.88900468148686,18380.116426930155,4097.846357047681,0.0,-2922.0731085137254,0.25161422839506714,0.00021441204776416156,35723.173406133676,29.632516217200624,0.2903339774424819,7761.654083817285,84.76404484347222
284.89824343046774,3370.1138936248117,10.517342247301926,22189.118469993522,3971.805679337339,0.0,-2857.9338730409268,0.26108561577833916,0.00021441204776416156,35707.09442631976,30.16336592180507,0.2847020394368493,7424.563492050071,87.8088359435105
284.89824343046774,3370.1138936248117,10.517342247301926,22189.118469993522,3971.805679337339,0.0,-2857.9338730409268,0.26108561577833916,0.00021441204776416156,35707.09442631976,30.16336592180507,0.2847020394368493,7424.563492050071,87.8088359435105
491.4822650000994,5384.479065877501,9.06195680537657,41784.870652648926,3655.9068872891803,0.0,-2678.521510601813,0.3053797188784396,0.00021441204776416156,35635.39358587145,32.145990207030486,0.2699225004983314,6357.42300839579,101.97548433811923
776.5260503710367,7769.272203792779,7.818684271262941,73609.24880428208,3615.2206610147764,0.0,-2627.264511339487,0.36649654060227044,0.00021441204776416156,35540.954934217494,34.1245349306105,0.2693200713608167,5721.310412060465,121.33854613982058
866.7414338556349,8464.555237679717,7.609969448082786,84828.65081699262,3677.792744905603,0.0,-2654.537488522902,0.3858398057150323,0.00021441204776416156,35510.95878312471,34.473954393122916,0.27399588903961297,5668.200840145743,127.41995309272946
866.7414338556349,8464.555237679717,7.609969448082786,84828.65081699262,3677.792744905603,0.0,-2654.537488522902,0.3858398057150323,0.00021441204776416156,35510.95878312471,34.473954393122916,0.27399588903961297,5668.200840145743,127.41995309272946
1112.349395937681,10305.65150674185,7.491933723598365,118141.70426821905,3908.0286069571243,0.0,-2774.722432328073,0.4385011118122263,0.00021441204776416156,35427.064293196454,35.005064297445394,0.2873418758130254,5708.138948650731,143.8351701935824
1451.23825431684,12964.773579653149,8.41019049951496,170654.04702945956,4324.051719458208,0.0,-3000.485995619299,0.5111629659017607,0.00021441204776416156,35303.98140838075,34.20486551974658,0.26317588086724303,6078.536064743631,166.0135429500805
1558.4954193083445,13895.296814433477,8.961994833989797,188829.0836346459,4478.5414221684605,0.0,-3089.2756984901407,0.5341601942849677,0.00021441204776416156,35262.84256529465,33.92170591730292,0.2494463146864018,6257.045962727203,172.8730001311376
1558.4954193083445,13895.296814433477,8.961994833989797,188829.0836346459,4478.5414221684605,0.0,-3089.2756984901407,0.5341601942849677,0.00021441204776416156,35262.84256529465,33.92170591730292,0.2494463146864018,6257.045962727203,172.8730001311376
1765.0794408779764,15885.013296060957,10.378673075409287,225880.47214282566,4769.2822386584785,0.0,-3288.899016919934,0.5784542973850683,0.00021441204776416156,35179.99238950624,32.23817067271972,0.27726155339599223,6634.508765589739,185.78892918824164
2050.123226248914,19209.922771860452,13.098262227822893,281273.43727218517,5077.1149441924,0.0,-3553.0137017212433,0.639571119108899,0.00021441204776416156,35057.117219369145,28.14905199968192,0.3765619539837051,7134.5752262399865,202.77035002746484
2140.338609733512,20438.08047403478,14.143779579118103,299797.0102063597,5141.602809439753,0.0,-3621.684743367392,0.6589143842216608,0.00021441204776416156,35016.385073104764,26.531343371038872,0.41499857591989164,7275.001440694742,207.88635884945154
2140.338609733512,20438.08047403478,14.143779579118103,299797.0102063597,5141.602809439753,0.0,-3621.684743367392,0.6589143842216608,0.00021441204776416156,35016.385073104764,26.531343371038872,0.41499857591989164,7275.001440694742,207.88635884945154
2241.492023289805,21932.464229973306,15.421713366252984,321103.880434444,5187.136494671094,0.0,-3697.578586086597,0.6806028947606007,0.00021441204776416156,34969.6968617347,24.705627845230577,0.46066947030711314,7413.568821506382,213.44432660006484
2381.06308829378,24218.265143704768,17.36838071219712,351402.7868736407,5229.472243288201,0.0,-3782.79928463974,0.7105286126167278,0.00021441204776416156,34903.85545331336,21.622772309959807,0.5399026731752784,7597.459323304899,220.76283397588932
2425.2368531639795,25000.000000000004,18.0287954007733,361201.6217900784,5239.7335030476825,0.0,-3807.6750177041918,0.72,0.00021441204776416156,34882.733921970925,20.585043594720393,0.5686673105528184,7655.649255008366,222.98504913352576
2425.2368531639795,25000.00000000001,-1.9376534008183948,361201.6217900784,5239.733503047683,0.0,-2732.4614614947664,0.72,0.0,34882.733921970925,20.585043594720382,0.3274321563023528,5036.048015599489,222.98504913352576
2648.472292363579,24575.128410527017,-1.8688339956207585,411023.6380991325,5311.082241515602,0.0,-2780.049249798306,0.72,1.4160467455182125e-19,34805.206259771156,21.141589984597022,0.32596229874797084,5115.41154625014,223.37695729153825
2956.4916354614656,24014.117253571527,-1.7738643246626966,479908.11261902447,5408.634226952331,0.0,-2844.338015207111,0.72,7.080233727591062e-20,34696.06060205943,21.877228586727878,0.32443074349569817,5223.916546664252,223.89341611987655
3053.978704411551,23842.653672487686,-1.7438036229236438,501742.46748979326,5439.2035537015945,0.0,-2864.321548793499,0.72,2.832093491036425e-19,34661.00009996337,22.102410859808728,0.32405147595359396,5257.92729053024,224.05103103314406
3053.978704411551,23842.653672487686,-1.7438036229236438,501742.46748979326,5439.2035537015945,0.0,-2864.321548793499,0.72,2.832093491036425e-19,34661.00009996337,22.102410859808728,0.32405147595359396,5257.92729053024,224.05103103314406
3549.6381333749923,23016.20327860483,-1.5909409251230804,612986.0479109888,5591.573025706798,0.0,-2962.9373516691144,0.72,0.0,34479.0087296654,23.19165217073729,0.32278491933727427,5427.610751703198,224.80921741107898
4233.546979824256,22000.28709699722,-1.3799578183632777,767060.0575197013,5790.291791786807,0.0,-3089.6286626279966,0.7200000000000002,1.0620350591386593e-19,34218.15363724928,24.546924852593424,0.32244017088104754,5649.729997647832,225.73781293839315
4450.001791391673,21708.81705324711,-1.3131669775156753,815950.9943961179,5849.647425917731,0.0,-3127.169900670246,0.7200000000000001,0.0,34133.372719576226,24.94138634703203,0.3225807514923033,5716.377235939762,226.00360193827402
4450.001791391673,21708.81705324711,-1.3131669775156753,815950.9943961179,5849.647425917731,0.0,-3127.169900670246,0.7200000000000001,0.0,34133.372719576226,24.94138634703203,0.3225807514923033,5716.377235939762,226.00360193827402
